comment,Label
"Ko lên số , dây dễ đứt nút bấm hoài không lên",-2.0
"Loa nhỏ, khi call bị lỗi",-2.0
Hàng ko ra gì hàng thì cũ mặt xước hiển thị thì nhảy loạn nói chung là bị  lỗi nhưng shop vẫn giao  shop làm ăn ko uy tín chỉ làm đồ chơi cho trẻ con,-2.0
d,0.0
Sản phẩm kém chất lượng sạc mãi mà không vào pin,-2.0
"Mình quá chán với shop này luôn đồng hồ hàng Trung Quốc gửi hàng lâu thì thôi mình cũng không nói gì nhưng mà mặt đồng hồ bị trầy, khó chỉnh giờ mình nt thì shop không thèm trả lời",-2.0
"Mua ba cái thì hai cái Casio còn ok,đến cái này thì như đb vậy, phí tiền, ms mua về mà báo hết pin,cứ nhấp nháy, chỉnh giờ thì k chỉnh được",-2.0
"mình thề là mình mua nó chỉ vì cái MÀU :::::)))) nhận đc cái màu héo úa tựa như màu áo lính sờn phai vì gió bão mưa sa mà lòng nặng trĩu. hoàn toàn ko chú ý đến chất lượng hay giá cả, nên trừ sạch sao vì tội sai màu (và mình cũng ko biết cách chỉnh thời gian, khó xài cực kỳ)",-2.0
"Không hiểu sao JTExpress bắt mình ra bưu cục nhận hàng.
Rất bực. 1 cái giao về tận nhà ở Vũng Tàu. Còn 1 cái giao ở hcm bị vậy
Mua bao nhiêu đồ giá trị ở shopee lẫn lazada rồi, mới gặp lần đầu
Mua onl để giao tận nơi mà bắt ra bưu cục nhận thôi để ngta ra cửa hàng mua cho rồi, khỏi chờ đợi nhận hàng",0.0
"Cầm cũng hơi nhẹ tay một chút,nói shop gửi hoá đơn mãi ko thấy gửi qua cho mình . Mình rất ko hài lòng về cách làm việc của shop , yêu cầu shop gửi hoá đơn cho mình shop chỉ đọc và ko rep , và mình có hỏi trường hợp bảo hành của máy thì mình sẽ liên hệ với trung tâm ủy quyền của Apple ơ đâu o nói",-2.0
Hàng vừa mới về bể mẹ nó cái mặt đồng hồ :))) Đóng gói chưa kĩ nên tụi giao hàng vận chuyển sao bể mất tiu :)) ZUI GHÊ LUN Á :)),-2.0
Không dùng đc,-2.0
shop phục vụ kém.toàn tn tự động nó,-2.0
Ccfhhfdwwsxcjkljbbggghyhvggebbbbbeh bbbbhhjjjjbbbbbko,0.0
"Loa rè nhưng bên shopee bảo k rè k chịu đổi trả??? Nghe còn k bằng cái iphone 7 cũ của mình. Hàng gửi trả lại m thì hơn 10 ngày k thấy hàng đâu, tiền thì thu rồi. Gọi tổng đài 3 lần rồi vẫn bảo chờ xử lý. Hỏi hàng đang đâu cũng k biết. Mua sàn shopee rẻ chút nhưng hên xui lắm. Mình thật hối hận",0.0
"Nhanh hư, sạc ko dô",-2.0
"Hình ảnh và video chỉ mang tính chất nhận xu 

Dây đeo đồng hồ bị ngược , 2 nút bị Lỏng .  Hàng không như mong đợi  !!!!! 


TIỀN NÀO CỦA ĐÓ THÔI:>>",-2.0
Lừa đảo . Mua về hỏng luôn 1 chiếc .,-2.0
"Mình mua bị lỏng dây nt hỏi shop nhưng k hề trả lời 
Thái độ phục vụ kém",-2.0
"sản phẩm kém, ko bảo hành",-2.0
"Sau 2 ngày sử dụng pin từ 88% xuống 5% (chỉ để xem đồng hồ), nhận thấy pin có vấn đề.
Đang 60% nhảy cái đùng xuống 5%, cắm sạc vô nhảy phát lên 15%, sạc 3 tiếng đồng hồ k đầy pin được, cao nhất 90%.
1 sao
",-2.0
Như xit,-2.0
"Giao sai mẫu, không giống ảnh trên shop. ................................",-2.0
đặt 1 màu giao màu khác,-2.0
"Quá tệ, lỗi tùm lum ko cho đổi trả, ko bao giờ mua trên sàn shopee vì cách phục vụ yếu kém.",-2.0
Đồng hồ rất bé. Ae mua nên suy nghĩ kĩ. Đàn ông ko đeo được đâu dù size lớn nhất. Như đồ trẻ con vậy.,-2.0
Mình mua 5 món có cả loa sạc tai nghe của shop mà shop chỉ bọc bao nilon ko hộp ko chóng shock gì cả cũng ko chú thích cho nhà vận chuyển để tới nơi hộp móp méo hết trơn buồn cả shop và nvc nên cho 1 sao thôi.,-2.0
"nhận hàng quá lâu
đợi shop trả lời muốn mốc mỏ
chăm sóc khách hàng quá chán",-2.0
TF bị hư,-2.0
Rồi,0.0
Chất lượng tai nghe rất giởm mk mới mua dùng đc. Vài hôm tai nghe hết pin sạc k vào. Mn k nên mua,-2.0
